Employee Name,Department,Band,Base Salary (INR),Performance Bonus (INR),Retention Bonus (INR),Total CTC (INR),Location,Joining Date
Martha Bennett,Sales,L1,411477,60657,22227,494361,Aimeebury,2025-05-02
Christopher Higgins,HR,L3,1405700,178939,95532,1680171,New Amanda,2025-05-12
Tiffany Bradshaw,Operations,L5,3268457,362085,148926,3779468,East Christine,2025-05-21
Julie Rodriguez,Engineering,L5,3773988,298036,263748,4335772,Fernandezberg,2025-08-12
Emily Brown,Operations,L4,2315702,285620,133898,2735220,Smithside,2025-07-09
Samantha Taylor,Engineering,L5,3463331,349130,222375,4034836,Suehaven,2025-05-06
Diane Baker,Engineering,L2,804117,62251,44807,911175,South Shelbytown,2025-07-16
Glen Boyd,Operations,L1,446753,43630,20218,510601,Masseyfort,2025-08-22
Brandon Gray,HR,L1,410063,38017,13409,461489,Popeberg,2025-08-08
Jennifer Mccormick,HR,L1,445552,46885,16251,508688,North Meghan,2025-08-14
Juan Rice,Sales,L5,4104566,371829,231200,4707595,Ramirezport,2025-07-11
Valerie Farmer,Operations,L1,478944,63128,24360,566432,South Mitchellton,2025-08-05
Krista Crane,Finance,L1,426941,30873,21124,478938,Tylershire,2025-08-06
Aaron Herrera,Operations,L1,480664,30484,33506,544654,Loriside,2025-06-20
Jose Myers,Operations,L2,897151,71659,28302,997112,Donnaburgh,2025-06-05
Brandon Long,HR,L1,524876,33892,18635,577403,New Kimberly,2025-07-06
Daniel Young,HR,L3,1365945,141488,78964,1586397,South Carlaport,2025-06-09
Stephanie Schmidt,Sales,L3,1416395,107634,83263,1607292,Thomashaven,2025-07-17
Christopher Hudson,Operations,L4,2437789,354410,77703,2869902,East Lorishire,2025-06-05
Lindsay Swanson,Finance,L1,545863,79742,24680,650285,Christianton,2025-08-20
